SCORPION MAX V1,,,,,,,,,,LCSC BOM Quotation,,,,,,,,,,,,,,,
,,,,,,,,,,BOM Date Created：11/01/26 03:50:32,,,,BOM Export Date: 12/01/26 06:11:32,,,,"The matching result is a real-time query result, availability and prices may fluctuate.  
Backorder items are estimated prices for your reference, please submit ""Create Quote"" to get the real price.
All information is provided ""as is"" and is subject to change without notice.  Any use made of the information provided is without recourse to LCSC and at the user's risk.",,,,,,,
,,,,,,,,,,"EST TOTAL :$156.41
",,,,Website：https://www.lcsc.com/bom,,,,,,,,,,,
Uploaded data,,,,,,,,,,LCSC Matching Results,,,,,,,,,,,,,,,
LCSC#,Mfr.,Mrf#,Description,Package,Value,Customer Part Number,Quantity,Target Price(EUR),Target Lead Time(Business Days),Mrf#,Mfr.,Order Qty.,Unit Price(EUR),Ext.Price(EUR),LCSC#,Package,Min,Mult,SPQ,Availability,Stock Status,Customer Notes,Description,Matched status,Product Link
,,,,,,30,1,,,1923869,Phoenix Contact,1,0.5341,0.53,C5443585,P=5.08mm,1,1,50,2,In Stock,,"2P 5.08mm Green 2 1 Straight Pin P=5.08mm Headers, Plugs and Sockets RoHS",Exact Matches,https://www.lcsc.com/product-detail/C5443585.html
,,,,,,69,5,,,TC4427EOA,MICROCHIP,5,1.1397,5.70,C636891,SOIC-8,1,1,100,1168,In Stock,,1.5A 4.5V~18V SOIC-8 Gate Drivers RoHS,Exact Matches,https://www.lcsc.com/product-detail/C636891.html
,,,,,,70,3,,,SN74LV4T125PWR,TI,3,0.5946,1.78,C90755,TSSOP-14,1,1,2000,2208,In Stock,,"1.6V~5.5V 1 4 3.2ns@5V,15pF 20uA TSSOP-14 Buffers, Drivers, Receivers, Transceivers RoHS",Exact Matches,https://www.lcsc.com/product-detail/C90755.html
,,,,,,47,100,,,RC0603FR-0747KL,YAGEO,100,0.0012,0.12,C105579,0603,100,100,5000,273000,In Stock,,100mW 47kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,Exact Matches,https://www.lcsc.com/product-detail/C105579.html
,,,,,,52,20,,,RT0603BRE07100KL,YAGEO,20,0.0167,0.33,C326758,0603,20,20,5000,67860,In Stock,,100kΩ 100mW 75V Thin Film Resistor ±50ppm/℃ ±0.1% 0603 Chip Resistor - Surface Mount RoHS,Exact Matches,https://www.lcsc.com/product-detail/C326758.html
,,,,,,105,100,,,RC0603FR-072K2L,YAGEO,100,0.0012,0.12,C114662,0603,100,100,5000,150000,In Stock,,100mW 2.2kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,Exact Matches,https://www.lcsc.com/product-detail/C114662.html
,,,,,,103,50,,,PH2.54-1X3P-H25,JXTCONN,50,0.0052,0.26,C42431836,"Through Hole,P=2.54mm",50,50,2000,40900,In Stock,,Pin Header 3 Position 2.54mm Pitch Single Row Through Hole -40℃~+105℃,Exact Matches,https://www.lcsc.com/product-detail/C42431836.html
,,,,,,304,5,,,0297003.WXNV,Littelfuse,5,0.1098,0.55,C151092,-,5,5,3000,6400,In Stock,,1kA@32V Blade Fuse 3A 32V Fuses RoHS,Exact Matches,https://www.lcsc.com/product-detail/C151092.html
,,,,,,303,5,,,0297010.WXNV,Littelfuse,5,0.0873,0.44,C151094,-,5,5,3000,18715,In Stock,,1kA@32V Blade Fuse 10A 32V Fuses RoHS,Exact Matches,https://www.lcsc.com/product-detail/C151094.html
,,,,,,201,5,,,PH2.54-2X8P-H25,JXTCONN,5,0.0531,0.27,C42431811,"Through Hole,P=2.54mm",5,5,500,2800,In Stock,,Pin Header 16 Position 2.54mm Pitch Dual Row Through Hole -40℃~+105℃,Exact Matches,https://www.lcsc.com/product-detail/C42431811.html
